date,W1,W2,W3,W4,W5,W6,W7,W8,W9,W10,W11,W12,W13,W14,W15,W16,W17,W18,W19,W20
1/4/2021,695.03,4869.49,136.62,3260.41,4070,998.29,559.39,0,270.89,20.45,7317.29,1323,458,0,5843,2227.26,9.76,27175.97,1236.06,311.43
2/4/2021,685.97,4293.42,135.62,3211.38,3993,1024.43,525.62,0,265.54,30.33,7203.79,1315,450,0,5849,2210.94,13.59,27041.27,1211.02,309.24
3/4/2021,681.46,4079.32,134.62,3158.56,3924,1063.94,554.63,0,259.92,37.05,7091.41,1306,446,0,5854,2194.68,8.25,26881.69,1187.16,306.36
4/4/2021,673.97,4084.92,133.63,3111.96,3849,1058.43,581.57,0,253.36,42.86,6993.43,1297,440,0,5860,2179.82,5.02,26747.63,1158.76,302.25
5/4/2021,669.49,4118.54,132.6,3062.25,3769,1025.53,608.18,0,246.93,43.55,6891.91,1289,430,0,5865,2163.67,8.45,26605.47,1131.5,298.26
6/4/2021,666.5,4613.74,131.65,3012.55,3703,991.78,632.26,0,242.59,47.12,6795.68,1280,415,0,5870,2147.57,10.37,26438.64,1114.73,289.62
7/4/2021,662.04,4550.37,131,2956.63,3631,1002.63,641.35,0,240.6,43.91,6704.62,1271,402,0,5876,2132.87,11.76,26280.52,1109.28,280.61
8/4/2021,657.6,4573.38,130.34,2913.13,3549,995.03,602.23,0,235.69,31.57,6575.86,1262,385,0,5882,2119.54,11.24,26131.09,1085.3,271.56
9/4/2021,653.17,4590.67,129.7,2862.23,3474,960.47,573.79,0,231.8,29.75,6469.75,1254,372,0,5887,2103.6,10.37,25948.91,1061.32,263.35
10/4/2021,648.75,4017.89,128.07,2817.68,3401,921.98,555.58,0,225.42,26.35,6360.55,1246,361,0,5893,2090.36,10.37,25833.25,1025.35,259.29
11/4/2021,642.88,3725.1,126.46,2767.19,3324,892.33,577.67,0,219.15,23.01,6244.24,1238,357,0,5898,2075.85,11.07,25651.92,994.37,255.5
12/4/2021,639.95,4452.87,125.5,2716.7,3255,854.56,599.26,0,214.83,33.77,6117.03,1230,351,0,5904,2060.07,10.89,25528.63,962.79,247.43
13/4/2021,635.57,4276.42,124.54,2666.22,3181,822.34,582.54,0,211.16,42.16,5967.33,1222,344,0,5909,2044.34,8.38,25323.71,950.16,238.14
